code_division,label_division,code_major_group,label_major_group,code_group,label_group,code_detail,label_detail,description_detail,example,unsuitable_example
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,052,石炭・亜炭鉱業,0522,亜炭鉱業,亜炭の掘採及びこれに附随する選炭処理を行う事業所をいう。,['亜炭鉱業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,053,原油・天然ガス鉱業,0531,原油鉱業,主として原油の掘採を行う事業所をいう。,"['原油鉱業', '石油鉱業', '天然アスファルト鉱業', '土れき（瀝）青鉱業', '油田さく井請負業', '油田試掘請負業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,053,原油・天然ガス鉱業,0532,天然ガス鉱業,主として天然ガスの掘採を行う事業所及び自ら掘採した天然ガスから天然ガソリン，液化石油ガス（ＬＰＧ），圧縮ガスを生産する事業所をいう。,"['天然ガス鉱業', '炭酸ガス鉱業', 'ガス採取業（天然のもの）', '天然ガソリン生産業']",['天然ガス業（導管により供給するもの）［3411］']
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0541,花こう岩・同類似岩石採石業,主として花こう岩及びその類似岩石の採石を行う事業所をいう。,"['花こう岩採石業', 'せん緑岩採石業', 'はんれい（斑糲）岩採石業', '片麻岩採石業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0542,石英粗面岩・同類似岩石採石業,主として石英粗面岩及びその類似岩石の採石を行う事業所をいう。,['石英粗面岩採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0543,安山岩・同類似岩石採石業,主として安山岩及びその類似岩石の採石を行う事業所をいう。,['安山岩採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0544,大理石採石業,主として大理石の採石を行う事業所をいう。,['大理石採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0545,ぎょう灰岩採石業,主としてぎょう灰岩の採石を行う事業所をいう。,['ぎょう灰岩採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0546,砂岩採石業,主として砂岩の採石を行う事業所をいう。,['砂岩採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0547,粘板岩採石業,主として粘板岩の採石を行う事業所をいう。,['粘板岩採石業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0548,砂・砂利・玉石採取業,主として砂，砂利，玉石などの採取を行う事業所をいう。,"['砂採取業', '砂利採取業', '玉石採取業', '壁砂採取業', '川砂採取業', '玉砂利採取業', 'バラスト採取業（粉砕した岩石でないもの）']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,採石業，砂・砂利・玉石採取業,0549,その他の採石業，砂・砂利・玉石採取業,主としてかんらん岩，蛇紋岩など他に分類されない岩石の採石を行う事業所をいう。,"['かんらん岩採石業', '蛇紋岩採石業', '玄武岩採石業', '黒よう石採石業', '真珠岩採石業', '火山灰採掘業', '軽石採掘業', '庭石採取業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,0551,耐火粘土鉱業,主として耐火粘土の掘採を行う事業所及び選鉱を行う事業所をいう。けつ岩粘土，木節粘土，がいろ目粘土の掘採を行う事業所も本分類に含まれる。,['耐火粘土鉱業（けつ岩粘土・木節粘土・がいろ目粘土鉱業を含む）'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,0552,ろう石鉱業,主としてろう石（ダイアスポアを含む）の掘採を行う事業所及び選鉱を行う事業所並びにろう石クレーを製造する事業所をいう。,"['ろう石鉱業', 'ろう石クレー製造業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,0553,ドロマイト鉱業,主としてドロマイトの掘採を行う事業所及び選鉱を行う事業所をいう。,['ドロマイト鉱業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,0554,長石鉱業,主として長石，半花こう岩，風化花こう岩の掘採を行う事業所及び選鉱を行う事業所をいう。,"['長石鉱業', '半花こう岩鉱業', '風化花こう岩鉱業']",
